path	rg	cs_prod	cs_test	sub_call	sub_fn_ptr	sub_serde	sub_string	sub_comment	a	b	c	comment
crates/adapters/kraken/src/provider_tests.rs	5	0	5	5	0	0	0	0	0	0	5	0
crates/adapters/kraken/tests/bdd_connectivity.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/kraken/tests/bdd_live_provider.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/adapters/kraken/tests/integration_connectivity.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/massive/src/provider_tests.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/adapters/multi-exchange/src/caching_provider.rs	1	0	2	1	0	0	0	0	0	0	1	0
crates/adapters/multi-exchange/src/provider.rs	3	0	4	3	0	0	0	0	0	0	3	0
crates/adapters/multi-exchange/src/strategy.rs	3	3	0	3	0	0	0	0	3	0	0	0
crates/adapters/multi-exchange/tests/bdd_composite_provider.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/postgres-system/src/pool_observer.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/postgres-trading/src/backtest_repository/integration_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/postgres-trading/src/backtest_repository/tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/postgres-trading/src/funding_repository.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/postgres-trading/src/paper_trading_orchestrator.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/adapters/postgres-trading/src/risk_state_repository.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/postgres-trading/src/slippage_repository.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/adapters/postgres-trading/src/trade_repository_integration_tests.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/adapters/postgres-trading/tests/reconciliation_audit_repository.rs	5	0	0	5	0	0	0	0	0	0	5	0
crates/adapters/postgres/src/lib_tests.rs	4	0	4	0	4	0	0	0	0	0	4	0
crates/adapters/postgres/tests/harness/integration_1793_alert_persistence.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/adapters/postgres/tests/harness/integration_1800_alert_persistence.rs	7	0	0	7	0	0	0	0	0	0	7	0
crates/adapters/postgres/tests/harness/integration_backtest_repository.rs	6	0	0	6	0	0	0	0	0	0	6	0
